Source,Target
7,10001
1,10001
21,10001
130,10001
4,10001
19,10001
250,10001
129,10001
25,10001
56,10001
33,10001
27,10001
94,10001
16,10001
95,10001
85,10001
10,10002
16,10002
23,10002
109,10002
52,10002
113,10002
19,10002
118,10002
25,10002
25,10003
10,10003
23,10003
17,10003
109,10003
15,10003
52,10003
11,10003
12,10003
21,10004
4,10004
127,10004
11,10004
12,10004
13,10004
25,10004
23,10004
17,10004
109,10004
1,10004
7,10004
14,10004
15,10004
52,10004
52,10005
74,10005
25,10005
95,10005
17,10005
95,10006
41,10006
23,10006
109,10006
52,10006
46,10006
120,10006
35,10006
36,10006
25,10006
27,10006
118,10007
25,10007
17,10007
86,10007
52,10007
120,10007
121,10007
12,10007
52,10008
12,10008
19,10008
25,10008
27,10008
23,10008
17,10008
109,10008
15,10008
75,10009
52,10009
121,10009
18,10009
104,10009
25,10009
70,10009
16,10009
17,10009
17,10010
1,10010
52,10010
46,10010
120,10010
43,10010
12,10010
121,10010
19,10010
129,10010
25,10010
10,10010
70,10010
25,10011
52,10011
21,10011
4,10011
4,10012
118,10012
25,10012
1,10012
7,10012
52,10012
1,10013
52,10013
4,10013
12,10013
98,10013
25,10013
149,10013
17,10013
7,10013
16,10014
109,10014
52,10014
113,10014
43,10014
19,10014
26,10014
25,10014
27,10014
10,10014
20,10015
129,10015
25,10015
74,10015
70,10015
16,10015
17,10015
1,10015
7,10015
52,10015
4,10015
53,10015
120,10015
12,10015
121,10015
19,10015
43,10015
120,10016
4,10016
121,10016
129,10016
74,10016
118,10016
25,10016
95,10016
23,10016
17,10016
109,10016
1,10016
7,10016
130,10016
52,10016
130,10017
52,10017
53,10017
120,10017
4,10017
121,10017
6,10017
145,10017
80,10017
98,10017
25,10017
118,10017
3,10017
112,10017
23,10017
79,10017
109,10017
146,10017
1,10017
7,10017
141,10017
23,10018
17,10018
109,10018
1,10018
7,10018
52,10018
4,10018
25,10018
118,10019
25,10019
72,10019
41,10019
17,10019
116,10019
1,10019
7,10019
52,10019
120,10019
121,10019
73,10019
12,10019
4,10020
25,10020
3,10020
9,10020
23,10020
109,10020
7,10020
1,10020
92,10020
52,10020
52,10021
53,10021
121,10021
12,10021
25,10021
1,10022
52,10022
25,10022
63,10022
64,10022
25,10023
94,10023
93,10023
92,10023
52,10023
4,10023
4,10024
25,10024
64,10024
1,10024
7,10024
93,10024
52,10024
52,10025
4,10025
60,10025
6,10025
98,10025
25,10025
56,10025
57,10025
9,10025
23,10025
85,10025
79,10025
109,10025
7,10025
1,10025
61,10025
109,10026
1,10026
7,10026
69,10026
44,10026
45,10026
52,10026
114,10026
120,10026
4,10026
121,10026
43,10026
74,10026
25,10026
57,10026
88,10026
70,10026
102,10026
71,10026
96,10027
54,10027
52,10027
4,10027
120,10027
97,10027
43,10027
129,10027
25,10027
104,10027
4,10028
43,10028
80,10028
12,10028
74,10028
104,10028
19,10028
26,10028
25,10028
27,10028
10,10028
70,10028
16,10028
48,10028
23,10028
85,10028
17,10028
109,10028
54,10028
1,10028
32,10028
7,10028
37,10028
69,10028
52,10028
46,10028
113,10028
120,10028
52,10029
106,10029
107,10029
4,10029
66,10029
67,10029
74,10029
25,10029
57,10029
68,10029
62,10029
16,10030
69,10030
22,10030
52,10030
82,10030
89,10030
21,10030
29,10030
43,10030
25,10030
19,10030
81,10030
20,10030
27,10030
58,10030
88,10030
16,10031
23,10031
109,10031
24,10031
1,10031
110,10031
7,10031
52,10031
4,10031
19,10031
51,10031
50,10031
25,10031
42,10032
25,10032
49,10032
17,10032
48,10032
110,10032
24,10032
54,10032
37,10032
1,10032
100,10032
52,10032
4,10032
77,10033
52,10033
28,10033
4,10033
121,10033
128,10033
111,10033
20,10033
25,10033
58,10033
101,10033
33,10033
95,10033
78,10033
110,10033
85,10033
30,10033
24,10033
7,10033
48,10034
1,10034
115,10034
7,10034
45,10034
69,10034
52,10034
114,10034
4,10034
49,10034
43,10034
13,10034
56,10034
25,10034
71,10034
25,10035
112,10035
33,10035
30,10035
147,10035
24,10035
148,10035
130,10035
52,10035
120,10035
128,10035
111,10035
91,10036
25,10036
54,10036
1,10036
52,10036
76,10036
90,10036
4,10036
100,10037
52,10037
67,10037
25,10037
101,10037
132,10037
41,10037
110,10037
17,10037
1,10037
24,10038
54,10038
1,10038
110,10038
38,10038
137,10038
52,10038
129,10038
25,10038
52,10039
25,10039
91,10040
121,10040
135,10040
134,10040
136,10040
26,10040
25,10040
71,10040
103,10040
133,10040
110,10040
17,10040
24,10040
54,10040
116,10040
61,10040
62,10040
7,10040
37,10040
38,10040
45,10040
52,10040
52,10041
25,10041
143,10041
17,10041
24,10041
54,10041
1,10041
110,10041
116,10041
110,10042
24,10042
1,10042
123,10042
37,10042
99,10042
76,10042
106,10042
107,10042
52,10042
113,10042
67,10042
56,10042
20,10042
