id,episode_number,Title,season_number,season_title
0,1,Pokémon! I Choose You,1,Indigo League
1,2,Battle! Pokemon Center,1,Indigo League
2,3,I Caught A Pokémon,1,Indigo League
3,4,Samauri's Challenge,1,Indigo League
4,5,Pewter Gym Battle,1,Indigo League
5,6,Clefairy and the Moon Stone,1,Indigo League
6,7,Water flowers of Cerulean Gym,1,Indigo League
7,8,The Road to the Pokémon League,1,Indigo League
8,9,Pokemon Ensured-Victory Manual,1,Indigo League
9,10,Bulbasaur's Hidden Village,1,Indigo League
10,11,The Lost Pokémon: Charmander,1,Indigo League
11,12,Squirtle's Gangs Entrance,1,Indigo League
12,13,Bill's Lighthouse,1,Indigo League
13,14,Electric Battle! Vermillion Gym,1,Indigo League
14,15,Battle On The St. Anne,1,Indigo League
15,16,Pokémon Adrift,1,Indigo League
16,17,Island of Enormous Pokémon!?!,1,Indigo League
17,18,Holiday in Acopaulo,1,Indigo League
18,19,Tentacool and Tentacruel,1,Indigo League
19,20,Phantom Pokémon and the Summer Festival,1,Indigo League
20,21,Bye Bye Butterfree,1,Indigo League
21,22,Abra! Psychic Showdown,1,Indigo League
22,23,Capture at Pokémon Tower,1,Indigo League
23,24,Haunter Vs. Kadabra,1,Indigo League
24,25,Don't Go Angry Primeape!,1,Indigo League
25,26,Erika and Gloom,1,Indigo League
26,27,Hypno and Pokemon Hypnotism?!,1,Indigo League
27,28,Vulpix! Breeder Battle,1,Indigo League
28,29,Pokémon Match! Serious Battle!,1,Indigo League
29,30,Magnemite! Dreams of an Electric Mouse!?,1,Indigo League
30,31,Full of Diglett,1,Indigo League
31,32,Fuchsia Ninja Battle!,1,Indigo League
32,33,Blazing Pokémon Race,1,Indigo League
33,34,Kangaskahn's Lullaby,1,Indigo League
34,35,The Legend of Dratini,1,Indigo League
35,36,Storm on Cycling Road,1,Indigo League
36,37,Ditto and Duplica,1,Indigo League
37,38,Electric Soldier Porygon,1,Indigo League
38,39,Forest of Pikachu,1,Indigo League
39,40,Four Eevee Brothers,1,Indigo League
40,41,Get Up! Snorlax,1,Indigo League
41,42,Showdown! Pokemon Gym!,1,Indigo League
42,43,Exeggutor Gang March,1,Indigo League
43,44,Paras And Parasect,1,Indigo League
44,45,Sing! Jigglypuff!,1,Indigo League
45,46,Resurrection!? Fossil Pokemon!,1,Indigo League
46,47,Chansey's Clinical Records,1,Indigo League
47,48,Growlithe and James,1,Indigo League
48,49,Farfetch'd's Easy Target,1,Indigo League
49,50,Whose is Togepi?,1,Indigo League
50,51,Bulbasaur's Mysterious Garden,1,Indigo League
51,52,Fierce Fighting! Pokemon Girls' Festival,1,Indigo League
52,53,It's Children's Day! Mass Approval,1,Indigo League
53,54,Police Officer Growlithe,1,Indigo League
54,55,Shutter Chance Pikachu,1,Indigo League
55,56,Pokemon League Certification Test!?,1,Indigo League
56,57,The Secret of the Breeding Center,1,Indigo League
