Id,Label,season,season_title,node_type,region,episode
10001,Pokémon! I Choose You,1,Indigo League,episode,kanto,1
10002,Battle! Pokemon Center,1,Indigo League,episode,kanto,2
10003,I Caught A Pokémon,1,Indigo League,episode,kanto,3
10004,Samauri's Challenge,1,Indigo League,episode,kanto,4
10005,Pewter Gym Battle,1,Indigo League,episode,kanto,5
10006,Clefairy and the Moon Stone,1,Indigo League,episode,kanto,6
10007,Water flowers of Cerulean Gym,1,Indigo League,episode,kanto,7
10008,The Road to the Pokémon League,1,Indigo League,episode,kanto,8
10009,Pokemon Ensured-Victory Manual,1,Indigo League,episode,kanto,9
10010,Bulbasaur's Hidden Village,1,Indigo League,episode,kanto,10
10011,The Lost Pokémon: Charmander,1,Indigo League,episode,kanto,11
10012,Squirtle's Gangs Entrance,1,Indigo League,episode,kanto,12
10013,Bill's Lighthouse,1,Indigo League,episode,kanto,13
10014,Electric Battle! Vermillion Gym,1,Indigo League,episode,kanto,14
10015,Battle On The St. Anne,1,Indigo League,episode,kanto,15
10016,Pokémon Adrift,1,Indigo League,episode,kanto,16
10017,Island of Enormous Pokémon!?!,1,Indigo League,episode,kanto,17
10018,Holiday in Acopaulo,1,Indigo League,episode,kanto,18
10019,Tentacool and Tentacruel,1,Indigo League,episode,kanto,19
10020,Phantom Pokémon and the Summer Festival,1,Indigo League,episode,kanto,20
10021,Bye Bye Butterfree,1,Indigo League,episode,kanto,21
10022,Abra! Psychic Showdown,1,Indigo League,episode,kanto,22
10023,Capture at Pokémon Tower,1,Indigo League,episode,kanto,23
10024,Haunter Vs. Kadabra,1,Indigo League,episode,kanto,24
10025,Don't Go Angry Primeape!,1,Indigo League,episode,kanto,25
10026,Erika and Gloom,1,Indigo League,episode,kanto,26
10027,Hypno and Pokemon Hypnotism?!,1,Indigo League,episode,kanto,27
10028,Vulpix! Breeder Battle,1,Indigo League,episode,kanto,28
10029,Pokémon Match! Serious Battle!,1,Indigo League,episode,kanto,29
10030,Magnemite! Dreams of an Electric Mouse!?,1,Indigo League,episode,kanto,30
10031,Full of Diglett,1,Indigo League,episode,kanto,31
10032,Fuchsia Ninja Battle!,1,Indigo League,episode,kanto,32
10033,Blazing Pokémon Race,1,Indigo League,episode,kanto,33
10034,Kangaskahn's Lullaby,1,Indigo League,episode,kanto,34
10035,The Legend of Dratini,1,Indigo League,episode,kanto,35
10036,Storm on Cycling Road,1,Indigo League,episode,kanto,36
10037,Ditto and Duplica,1,Indigo League,episode,kanto,37
10038,Electric Soldier Porygon,1,Indigo League,episode,kanto,38
10039,Forest of Pikachu,1,Indigo League,episode,kanto,39
10040,Four Eevee Brothers,1,Indigo League,episode,kanto,40
10041,Get Up! Snorlax,1,Indigo League,episode,kanto,41
10042,Showdown! Pokemon Gym!,1,Indigo League,episode,kanto,42
10043,Exeggutor Gang March,1,Indigo League,episode,kanto,43
10044,Paras And Parasect,1,Indigo League,episode,kanto,44
10045,Sing! Jigglypuff!,1,Indigo League,episode,kanto,45
10046,Resurrection!? Fossil Pokemon!,1,Indigo League,episode,kanto,46
10047,Chansey's Clinical Records,1,Indigo League,episode,kanto,47
10048,Growlithe and James,1,Indigo League,episode,kanto,48
10049,Farfetch'd's Easy Target,1,Indigo League,episode,kanto,49
10050,Whose is Togepi?,1,Indigo League,episode,kanto,50
10051,Bulbasaur's Mysterious Garden,1,Indigo League,episode,kanto,51
10052,Fierce Fighting! Pokemon Girls' Festival,1,Indigo League,episode,kanto,52
10053,It's Children's Day! Mass Approval,1,Indigo League,episode,kanto,53
10054,Police Officer Growlithe,1,Indigo League,episode,kanto,54
10055,Shutter Chance Pikachu,1,Indigo League,episode,kanto,55
10056,Pokemon League Certification Test!?,1,Indigo League,episode,kanto,56
10057,The Secret of the Breeding Center,1,Indigo League,episode,kanto,57
10058,Heated Battle in Cinnibar Gym ,1,Indigo League,episode,kanto,58
10059,Decisive Battle! Cinnabar Gym,1,Indigo League,episode,kanto,59
10060,Blastoise's Island,1,Indigo League,episode,kanto,60
10061,Cerulean Gym! Battling in Water,1,Indigo League,episode,kanto,61
10062,Clefairy Vs. Jigglypuff,1,Indigo League,episode,kanto,62
10063,Viridian Gym! The Last Badge!,1,Indigo League,episode,kanto,63
10064,Mr. Mime and the Pokémon Circus,1,Indigo League,episode,kanto,64
10065,Jynx and Christmas,1,Indigo League,episode,kanto,65
10066,Onix as Bivouac,1,Indigo League,episode,kanto,66
10067,Dueling with the Rival! Oak's Laboratory,1,Indigo League,episode,kanto,67
10068,Slowpoke Evolving Into Slowbro,1,Indigo League,episode,kanto,68
10069,Legend of the Surfing Pikachu,1,Indigo League,episode,kanto,69
10070,Gloom of the Botanical Garden,1,Indigo League,episode,kanto,70
10071,Pokémon: The Movie,1,Indigo League,episode,kanto,71
10072,Why Meowth Can Speak,1,Indigo League,episode,kanto,72
10073,Bruno of the Elite Four Enters!,1,Indigo League,episode,kanto,73
10074,A Battle of Ancient Pokémon,1,Indigo League,episode,kanto,74
10075,Marowak's Bone Club,1,Indigo League,episode,kanto,75
10076,Moltres! Declaring the Pokémon League!,1,Indigo League,episode,kanto,76
10077,Pokémon League Opening! Match In Water Field!,1,Indigo League,episode,kanto,77
10078,Ice Field! Blazing Battle,1,Indigo League,episode,kanto,78
10079,Formidable Rival in Grass Field!,1,Indigo League,episode,kanto,79
10080,New Rival,1,Indigo League,episode,kanto,80
10081,Indigo Stadium! VS Richie,1,Indigo League,episode,kanto,81
10082,Pokémon League! The Final Battle!,1,Indigo League,episode,kanto,82
10083,Pallet Town! Another Departure!,1,Indigo League,episode,kanto,83
10084,Airship Mishap!?,2,Adventures in the Orange Islands,episode,johto,1
10085,Southern Pokémon & The GS Ball,2,Adventures in the Orange Islands,episode,johto,2
10086,Lapras In Bonds!,2,Adventures in the Orange Islands,episode,johto,3
10087,Orange League! Mikan Gym! ,2,Adventures in the Orange Islands,episode,johto,4
10088,Mystery of the Disappearing Pokémon!,2,Adventures in the Orange Islands,episode,johto,5
10089,The Crystal Onix!,2,Adventures in the Orange Islands,episode,johto,6
10090,The Island of Pink Pokémon!,2,Adventures in the Orange Islands,episode,johto,7
10091,Secret of Fossil Kabuto!,2,Adventures in the Orange Islands,episode,johto,8
10092,Dance! Pokémon Showboat!,2,Adventures in the Orange Islands,episode,johto,9
10093,"Adios Psyduck, Hello Golduck",2,Adventures in the Orange Islands,episode,johto,10
10094,Nurse Joy Sailing! Raging Waves!,2,Adventures in the Orange Islands,episode,johto,11
10095,Navel Island! Battle on Snow Mountain,2,Adventures in the Orange Islands,episode,johto,12
10096,Hungry Snorlax! Great Panic!,2,Adventures in the Orange Islands,episode,johto,13
10097,Phantom Pokémon of the Phantom Ship!,2,Adventures in the Orange Islands,episode,johto,14
10098,Lord Meowth's Island!?,2,Adventures in the Orange Islands,episode,johto,15
10099,Scyther - Soldier's Pride,2,Adventures in the Orange Islands,episode,johto,16
10100,It's the Southern Islands! Everyone Gather!,2,Adventures in the Orange Islands,episode,johto,17
10101,Lorelei of the Elite Four! Ice Duel!,2,Adventures in the Orange Islands,episode,johto,18
10102,Nidoran's Love Story,2,Adventures in the Orange Islands,episode,johto,19
10103,The Vast Plain's Call,2,Adventures in the Orange Islands,episode,johto,20
10104,Phantom of the Underwater Tunnel,2,Adventures in the Orange Islands,episode,johto,21
10105,Trovita Gym Type Battle! 3 vs. 3!,2,Adventures in the Orange Islands,episode,johto,22
10106,Pikachu Vs. Meowth!?,2,Adventures in the Orange Islands,episode,johto,23
10107,Charizard! I Choose You!,2,Adventures in the Orange Islands,episode,johto,24
10108,Fire Extinguishing Showdown! Squirtle Vs. Wartortle!,2,Adventures in the Orange Islands,episode,johto,25
10109,Snorlax's Power!,2,Adventures in the Orange Islands,episode,johto,26
