Source,Target
1,10350
1,11008
1,10276
1,10931
1,11139
1,11211
1,11178
1,10438
1,11123
1,10171
1,11041
1,10437
1,10287
1,10123
1,11058
1,10467
1,10340
1,11091
1,10608
1,11082
1,11043
1,10556
1,10464
1,11209
1,10826
1,10059
1,10417
1,10551
1,11163
1,10948
1,11088
1,10874
1,10624
1,11075
1,10895
1,11042
1,11115
1,10306
1,11049
1,10366
1,10803
1,10014
1,10842
1,10419
1,11095
1,10741
1,10218
1,10079
1,10353
1,10847
1,11117
1,10837
1,11186
1,11228
1,10796
1,10560
1,11029
1,10571
1,11124
1,10621
1,10103
1,10525
1,10037
1,10240
1,11056
1,10280
1,10286
1,11037
1,10602
1,11094
1,10039
1,10253
1,10543
1,11033
1,10749
1,10060
1,11017
1,11084
1,10962
1,10304
1,10360
1,10337
1,10342
1,11184
1,11170
1,10398
1,10970
1,10316
1,10912
1,10821
1,10502
1,10562
1,10652
1,11143
1,10996
1,10136
1,10973
1,11127
1,11159
1,10654
1,10642
1,11055
1,10327
1,10936
1,11132
1,10940
1,10493
1,11035
1,10263
1,10593
1,11060
1,11213
1,10559
1,10971
1,10827
1,11142
1,11026
1,11183
1,10386
1,10793
1,10928
1,10752
1,10094
1,10406
1,11100
1,10334
1,11221
1,10531
1,10534
1,10044
1,11224
1,10797
1,11177
1,11070
1,10262
1,10845
1,11196
1,10777
1,10432
1,10190
1,10781
1,10865
1,10989
1,11235
1,10209
1,10992
1,10993
1,11208
1,10484
1,10268
1,10944
2,10047
2,10906
2,10904
2,10528
2,10793
2,10396
2,10916
2,11025
2,11007
2,10448
2,10942
2,10067
2,10880
2,11228
2,11035
2,10804
2,11110
2,10629
2,11156
2,10517
3,11133
3,10689
3,10881
3,11193
3,10996
3,10943
3,10720
3,10636
3,11006
3,10362
3,10532
3,10862
3,10828
3,11067
3,10609
3,10110
3,10593
3,10680
3,10483
3,11151
3,11115
3,10373
3,10631
3,10958
3,11204
3,10148
3,10509
4,10872
4,10560
4,10581
4,10514
4,11219
4,10456
4,10351
4,10418
4,11199
4,10538
4,10300
4,10805
4,10519
4,10933
4,10973
4,11206
4,10943
4,11160
4,10775
4,10346
4,10237
4,10241
4,10809
4,10245
4,10450
4,11165
4,11012
4,10970
4,10286
4,11214
4,10812
4,11041
4,10209
4,10731
4,10963
4,10590
4,11086
4,10863
4,10254
4,10145
4,11045
4,10603
4,10589
4,10751
4,10475
4,10293
4,11083
4,10434
4,11103
4,11163
4,10579
4,10335
4,10956
4,10586
5,10520
5,10620
5,10825
5,10755
5,10604
5,10894
5,10295
5,10817
5,10991
5,10985
5,10561
5,11015
5,10537
5,10078
5,11076
5,10300
5,10335
6,10090
6,10438
6,10368
6,10804
6,11043
6,10962
6,10969
6,10409
6,11167
6,10404
6,11091
6,11163
6,10736
6,10249
6,10443
6,10567
6,10634
6,10588
6,10839
6,10113
6,10444
6,10766
6,11212
6,11221
6,10168
6,10429
6,11087
6,11214
6,10757
6,10047
6,10348
6,11090
6,11200
6,10867
6,11033
6,10925
6,11055
6,10549
6,10564
6,11023
6,11146
6,10248
6,11005
6,10398
6,10773
6,11028
6,10939
6,11159
6,11225
6,10227
6,10436
6,11235
6,10095
6,10366
6,10019
6,11119
6,10980
6,10458
6,10469
6,11053
6,11072
6,10648
6,10069
6,10467
6,10193
6,11030
6,10026
6,11220
6,11109
6,10645
6,10599
6,10714
6,10994
6,10371
6,10261
6,11126
6,11164
6,10478
6,10918
6,10310
6,10460
6,11063
6,11179
6,11148
6,10509
6,10282
6,10943
6,10076
6,11207
6,11135
6,10538
6,10988
6,11114
6,10181
6,10724
6,10196
6,10555
6,10356
6,11233
6,10718
6,10748
6,10863
6,10930
6,10556
6,11098
6,10618
6,11106
6,11151
6,10611
6,10441
6,11044
6,10506
6,10120
6,10421
6,10862
6,10699
6,10387
6,10916
6,11180
6,10399
6,11176
6,10737
6,10225
6,10552
6,11094
6,10594
6,11017
6,10858
6,11052
6,11121
6,10262
6,10151
6,10520
6,10274
6,11226
6,10490
6,11084
6,10537
6,11124
6,11100
6,10906
6,10914
6,10985
6,10222
6,10205
6,10879
6,10845
6,10574
6,10885
6,10291
6,10977
6,10013
6,10048
6,10649
6,10383
7,11174
7,10780
7,10312
7,10788
7,10977
7,10844
7,10361
7,10218
7,11162
7,10523
7,11196
7,10036
7,10727
7,11023
7,10102
7,10413
7,11226
7,10049
7,10310
7,10099
7,10756
7,10557
7,10963
7,10180
7,10225
7,10116
7,10324
7,10379
7,10059
7,10552
7,10775
7,11068
7,11170
7,10934
7,11145
7,10730
7,10838
7,10209
7,11207
7,11040
7,10010
7,10761
7,11225
7,10938
7,10443
7,10716
7,10524
7,10592
7,10895
7,10494
7,10966
7,10876
7,10764
7,10774
7,10731
7,10266
7,10497
7,11208
7,10840
7,10820
7,10480
7,10558
7,11089
7,10057
7,10568
7,10875
7,10278
7,10020
7,10608
7,10308
7,10455
7,11120
7,11024
7,10595
7,10563
7,10384
7,10981
7,10046
7,10642
7,10065
7,11204
7,11006
7,10655
7,10126
7,10706
7,10458
7,11067
7,11220
7,10948
7,10688
7,11169
7,10803
7,11117
7,11134
7,10957
7,10904
7,10718
7,11230
7,10424
7,10946
7,10230
7,10987
7,10899
7,10697
7,10990
7,10559
7,11105
7,11096
7,11206
7,11029
7,10360
7,10757
7,10479
7,10247
7,10704
7,11060
7,10171
7,10501
7,11235
7,11074
7,10330
8,11155
8,10860
8,10683
8,10728
8,10240
8,10523
8,11009
8,10991
8,10795
8,11142
8,10945
8,11219
8,10102
8,10851
8,11084
8,10788
8,10752
8,10373
8,10057
9,10865
9,11165
9,10055
9,10928
9,10291
9,11149
9,10230
9,10734
9,10944
9,10829
9,10170
9,10643
9,11204
9,11085
9,10089
9,11089
9,10786
9,11080
9,10736
9,11203
9,10154
9,10445
9,10645
9,11099
9,10085
9,10529
9,10620
9,10563
9,11122
9,11027
9,11225
9,11082
9,10995
9,11179
9,10730
9,10862
9,10455
9,11003
9,11145
10,10171
10,11046
10,11136
10,10607
10,10520
10,11103
10,11128
10,11122
10,11220
10,10516
10,11185
10,10090
10,11000
10,10653
10,10420
10,10846
10,10075
10,10269
10,11055
10,10291
10,11030
10,11037
10,11199
10,11224
10,11174
10,10600
10,10845
10,11083
10,11142
10,10615
10,11021
10,10801
10,11082
10,10796
10,10295
10,11134
10,10806
10,10709
10,10236
10,10026
10,10805
10,10868
10,10998
10,11226
10,10764
10,10716
10,10086
10,10614
10,10526
10,10996
10,10949
10,10254
10,10941
10,10902
10,10575
10,10051
10,10587
10,10094
10,10042
10,10963
10,11063
10,10597
10,10804
10,11069
10,11091
10,10238
10,11235
10,10898
10,10494
11,10115
11,11135
11,10611
11,10528
11,11024
11,11120
11,11098
11,10663
11,11032
11,10698
11,10472
11,11142
11,10916
11,11227
11,10711
11,10918
11,10584
11,11180
11,11221
11,10836
11,10416
11,10193
11,10767
11,10530
11,10076
11,10248
12,10582
12,10629
12,10230
12,10245
12,10952
12,10791
12,11212
12,11174
12,10931
12,10781
12,11126
12,10616
12,10088
12,11121
12,10355
12,10457
12,10085
12,10664
12,11144
12,10764
12,10400
12,10853
12,10210
12,10986
12,10207
12,10261
12,10892
12,11225
12,10153
12,11089
12,11198
12,11215
12,10403
12,10560
12,10469
12,10310
12,10871
12,10025
12,11217
12,10353
12,11180
12,10324
12,11148
12,10344
12,10783
12,10592
12,11028
12,10919
12,10105
12,11078
12,11207
12,10947
12,10808
12,11033
12,10162
12,10129
12,10137
12,10003
12,10830
12,11071
12,10708
12,10090
12,11043
12,10399
12,11008
12,10845
12,10800
12,10392
12,11084
12,10843
12,10436
12,10519
12,10777
12,10728
12,10271
12,11097
12,11040
12,10765
12,10307
12,10920
12,11230
12,10071
12,10685
12,11056
12,10211
12,10973
12,10688
12,10983
12,10942
12,11049
12,11093
12,11206
12,11110
12,10290
13,10962
13,11157
13,11129
13,10028
13,10600
13,10152
13,10990
13,10749
13,10769
13,10720
13,10713
13,10760
13,10096
13,10973
13,10943
13,10907
13,10741
13,11012
13,10644
13,11145
13,11082
13,10029
13,10323
13,11030
13,10188
13,10169
13,10362
13,10246
13,10945
13,10432
13,10506
13,10349
13,10038
13,11199
13,10750
13,10894
13,10986
13,11061
13,11147
13,10316
13,10643
13,11205
13,11222
13,10585
13,10897
13,10532
13,11024
14,10998
14,10830
14,11014
14,10573
14,10067
14,10915
14,10615
14,10213
14,11074
14,11147
14,10709
14,11120
14,11214
14,10983
14,10392
14,11212
14,11033
14,10588
14,10477
14,10303
14,10068
14,10421
14,10289
14,10667
14,10407
14,11064
14,11103
14,10705
14,10501
15,10171
15,10347
15,10769
15,10783
15,10955
15,10446
15,10949
15,11161
15,10499
15,10399
15,11096
15,10985
15,11135
15,10879
15,11213
15,11084
15,10693
15,11087
15,10580
15,10825
15,10978
15,10565
15,10355
15,10317
15,10085
15,10342
15,10482
15,11216
15,10966
15,10948
15,10912
15,10735
15,10951
15,10816
15,10238
15,11056
15,10431
15,10438
15,11038
15,10665
15,11048
15,11138
15,10617
15,10552
15,10543
15,10353
15,11010
15,11080
15,10914
15,11098
15,11033
15,10792
15,11091
15,10494
15,10541
15,10897
15,10533
15,11076
15,10911
15,10804
15,10208
15,10188
15,10439
15,10013
15,10958
15,10227
15,11133
15,11015
15,10521
15,10457
16,10397
16,11151
16,10944
16,11103
16,11183
16,10225
16,10262
16,10922
16,10528
16,10215
16,11041
16,10525
16,10628
16,10111
16,11124
16,10101
16,10392
16,10504
16,10572
16,10369
16,10556
16,10941
16,10358
16,10057
16,11009
16,10387
16,10848
16,10938
16,10467
16,10040
16,10642
16,10406
16,11235
16,10272
16,10902
16,11139
16,10766
16,10463
16,11069
16,11131
16,10765
16,10332
16,10850
16,11163
16,10061
16,10883
16,10887
16,10710
16,10802
16,10343
16,10526
16,10178
16,10439
16,10608
16,11218
16,10495
16,10823
16,10083
16,11121
16,11125
16,10856
16,11088
16,10110
16,10060
16,10910
16,10170
16,10605
16,11234
16,10026
16,11078
16,10453
16,10915
16,11064
17,10655
17,10023
17,10989
17,11143
17,11184
17,10261
17,11121
17,11209
17,11036
17,10414
17,11176
17,10521
17,10137
17,10498
17,10507
17,10874
17,11069
17,10251
17,11050
17,11202
17,11029
17,10910
17,11191
17,10212
17,10995
17,10484
17,11076
17,11236
17,10494
17,10290
17,10938
17,11045
17,10362
17,10472
17,10725
17,11140
17,10787
17,10530
17,11225
17,10398
17,10997
17,10540
17,10138
17,10596
17,11073
17,11004
17,10608
17,11046
17,11034
17,10559
17,10464
17,10375
17,10618
17,10717
17,11220
17,11028
17,10970
18,10093
18,10336
18,11042
18,11159
18,10628
18,10365
18,10911
18,10520
18,10287
18,11053
18,10609
18,10673
18,10162
18,11207
18,11084
18,10798
18,10412
18,10941
18,10942
18,11091
18,11224
18,10414
18,10963
18,10905
18,11049
18,11094
19,11220
19,10747
19,10297
19,11231
19,10877
19,10256
19,10709
19,10986
19,11224
19,10616
19,11232
19,10960
19,10540
19,10082
19,10903
19,10765
19,10595
19,10264
19,11109
19,10239
19,10650
19,11092
19,10208
19,10212
19,10892
19,10472
19,10560
19,11214
19,10230
19,10379
19,10806
19,10987
19,10413
19,11073
19,10037
19,11208
19,10040
19,10983
19,10028
19,10972
19,10317
19,11051
19,11192
19,11064
19,10748
19,11025
19,10418
19,10387
19,11032
19,10578
19,10568
19,10403
19,10875
19,10182
19,10649
19,10411
19,11004
19,11170
19,10511
19,10518
19,11125
19,10943
19,10928
19,10544
19,10194
19,10209
19,10231
19,10998
19,10225
19,10873
19,10623
19,10725
19,11207
20,11087
20,11070
20,10819
20,10204
20,10923
20,10305
20,11120
20,10336
20,10173
20,10981
20,10325
20,10474
20,10860
20,10182
20,11126
20,10769
20,10033
20,11220
20,10299
20,10390
20,11143
20,11078
20,10235
20,10579
20,10065
20,10040
20,10447
20,10971
20,10530
20,10807
20,10332
20,11132
20,10730
20,10048
20,11016
20,10944
20,10959
20,11073
20,11224
20,10167
20,10879
20,10266
20,10272
20,10803
21,11075
21,10894
21,10252
21,11021
21,10509
21,10661
21,11215
21,11221
21,10987
21,10996
21,10984
21,10441
21,11072
21,11194
21,11230
21,11081
21,11225
21,10382
21,10182
21,10068
21,10781
21,10716
21,10815
21,10915
21,10558
21,10571
21,11076
21,10254
21,10217
21,11203
21,10394
21,11187
21,10132
21,11033
21,10601
21,10619
21,11177
21,10149
21,10230
21,10402
21,10859
21,10386
21,10424
21,10464
21,11171
21,11083
21,11236
21,10889
21,11092
21,10804
21,11112
22,11165
22,11073
22,11218
22,10393
22,10555
22,11225
22,10255
22,10082
22,11199
22,10968
22,10722
22,11229
22,10852
22,10727
22,10126
22,10228
22,10846
22,10052
22,10730
22,11230
22,10606
22,10747
22,11084
22,10063
22,10949
22,10014
22,10533
22,11232
22,10802
22,10862
22,11231
22,11103
22,11159
22,11151
22,10391
22,10146
22,10728
22,10436
22,10474
23,10896
23,10932
23,11020
23,10782
23,10402
23,10838
23,11010
23,11075
23,10729
23,11089
23,10499
23,10744
23,10501
23,10480
23,11207
23,11073
23,11030
23,11162
23,10790
23,10846
23,11123
23,10231
23,10139
23,10100
23,10593
23,10171
23,10519
23,10110
23,10186
23,10248
23,10712
23,10082
23,10385
24,11023
24,10757
24,10431
24,10872
24,10578
24,11131
24,11086
24,11004
24,10399
24,11225
24,11147
24,10016
24,10132
24,11166
24,10284
24,11140
24,10648
24,10530
24,10394
24,11136
24,10398
24,10008
24,10026
24,10948
24,10874
24,10759
24,10101
24,11196
24,10776
24,11152
24,10602
24,10390
24,10810
24,11078
24,10858
24,11106
24,10485
24,10588
24,10831
24,11178
24,11079
24,10551
24,10632
24,11126
24,10868
24,10598
24,11224
24,10856
24,10075
24,10950
24,10467
24,10307
24,11156
24,10817
24,10232
24,10791
24,10248
24,10650
24,10767
24,11128
24,10513
24,11230
24,10316
24,10738
24,11213
24,10706
24,10464
24,10878
24,10651
24,10230
24,10439
24,10714
24,10883
24,10725
24,11192
24,10001
24,10488
24,10784
24,10560
24,10947
24,11039
24,11009
24,10788
24,10548
24,11083
24,10845
24,10476
24,10156
24,10379
24,10675
24,10915
24,10155
24,11053
24,10290
24,10992
24,10333
24,10741
24,10999
24,10775
24,10274
24,10356
24,11234
24,11050
24,10585
24,10702
24,10769
24,10894
24,10291
24,11062
24,10589
24,10540
24,10842
24,11135
24,10017
24,10009
24,10715
24,10972
24,10066
24,10564
24,10300
24,10796
24,10557
24,11074
24,10152
24,10907
24,10684
24,10798
24,10484
24,10864
24,10719
24,10469
24,10149
24,11065
24,11073
24,10465
24,10351
25,10635
25,10891
25,11069
25,10437
25,10225
25,10879
25,10415
25,11196
25,10493
25,10932
25,11090
25,10539
25,11229
25,10947
25,10844
25,10957
25,10646
25,10937
25,11094
25,10751
25,10470
25,10614
25,10310
25,11129
25,10534
25,10899
25,10777
25,10218
25,11121
25,10017
25,10530
25,10699
25,10285
25,10444
25,10568
25,10887
25,10146
25,10740
25,10843
25,10466
25,10383
25,10208
25,10475
25,10776
25,10944
25,10912
25,11072
25,11032
25,11036
25,11065
25,11232
25,10736
25,10801
25,10331
25,10964
25,10782
25,10742
25,11119
25,10034
25,10476
25,10576
25,11124
25,11083
25,10658
25,10732
25,11225
25,10682
25,10177
25,10883
25,10918
25,10916
25,11217
25,11080
25,10870
25,10698
25,10398
25,11170
25,10693
25,10721
25,10726
25,10221
25,11122
25,10073
25,10395
25,10260
25,10267
25,11098
25,10403
25,10065
25,10399
25,11120
25,11221
25,11139
25,10565
25,10516
25,10917
25,10189
25,10013
25,10856
25,10252
25,10481
25,11042
25,11214
25,10914
25,11041
25,10629
25,10336
25,11202
25,11074
25,10653
25,10082
25,10224
25,10178
25,10164
25,10448
25,11033
25,10876
25,10711
25,11112
25,11037
25,10908
25,10995
25,10151
25,10935
25,10527
25,11197
25,10610
25,10412
25,10895
25,10792
25,10183
25,10577
25,11165
25,10132
25,10728
25,10938
25,10167
25,10556
25,11132
25,10495
25,10273
25,10202
25,11162
25,10532
25,10993
25,10563
25,10954
25,10960
25,10720
25,10717
25,10406
25,10339
25,11201
25,10655
25,10460
25,10811
25,10842
25,10037
25,10660
25,11021
25,11236
25,10465
25,11097
25,11192
25,10223
25,10613
25,10959
25,11138
25,11224
25,10583
25,11168
25,10209
25,10342
25,10569
25,10264
25,11031
25,10424
25,11087
25,10420
25,10290
25,10561
25,11017
25,10588
25,10033
25,10555
25,10572
25,10963
25,10701
25,10116
25,10531
25,10681
25,10651
25,11076
25,10979
25,10499
25,10630
25,10869
25,10168
25,10235
25,10318
25,10529
25,10057
25,10983
25,11088
25,11218
25,10933
25,10564
25,10707
25,10541
25,10644
25,10521
25,10587
25,11109
25,11178
25,10259
25,10593
25,10396
25,11206
25,10940
25,11212
25,10739
25,11030
25,10578
25,11135
25,11158
25,11153
25,11073
25,10211
25,11048
25,11093
25,11099
25,10263
25,10929
25,10643
25,10233
25,10536
25,10687
25,10430
25,11145
25,10994
25,11156
25,10761
25,10814
25,10269
25,10315
25,10509
25,10110
25,10028
25,10557
25,10471
25,10117
25,11187
25,11230
25,10609
25,10835
25,10730
25,10619
25,11222
25,10978
25,10503
25,10824
25,10579
25,10305
25,11029
25,10464
25,10803
25,11002
25,10291
25,11001
25,10080
25,10818
25,11234
25,11061
25,10002
25,10806
25,11046
25,10808
25,10592
25,10752
25,10001
25,10230
25,10603
25,10980
25,10909
25,10715
25,11220
25,10668
25,11126
25,10943
25,11104
25,10270
25,11143
25,10046
25,11137
25,10156
25,10702
25,10970
25,10170
25,10886
25,11199
25,10551
25,11151
25,11203
25,10288
25,10421
25,11142
25,10566
25,10245
25,10672
25,10107
25,10407
25,10604
25,10977
25,10119
25,11113
25,10501
25,10898
25,10242
25,11184
25,11166
25,10212
25,10445
25,10605
25,10987
25,10484
25,10374
25,10438
25,10099
25,10068
25,10696
25,11066
25,11127
25,10006
25,10562
25,10812
25,11086
25,10594
25,10240
25,11038
25,11117
25,10249
25,10998
25,10941
25,10075
25,10409
25,11211
25,11077
25,10697
25,10138
25,11216
25,11095
25,10344
25,10302
25,10656
25,10718
25,10372
25,10827
25,11134
25,11154
25,10004
25,10714
25,10058
25,10967
25,10347
25,10786
25,10067
25,10760
25,10862
25,11149
25,10287
25,10182
25,11035
25,10317
25,11111
25,10086
25,10650
25,10297
25,10636
25,10547
25,10052
25,10335
25,10104
25,11063
25,11039
25,10829
25,10926
25,10654
25,10549
25,10606
25,11219
25,10502
25,10804
25,10684
25,11056
25,10154
25,10188
25,10845
25,10387
25,10459
25,10968
25,10934
25,11207
25,11103
25,10628
25,10024
25,10299
25,10997
25,10880
25,10294
25,11227
25,10813
25,10694
25,10397
25,10155
25,10008
25,11060
25,11114
25,10989
25,11159
25,10439
25,10392
25,10631
25,10045
25,10246
25,10524
25,10311
25,11071
25,10071
25,10955
25,10526
25,11062
25,10469
25,10741
25,10064
